fname,ALTVOZ,ANIDOM,AVEVOC,FLUAGU,HERPET,INDETE,INDETER,INSECT,LLUVIA,MAMIFE,MOL_SP,MURCIE,MURCIE?,PASOS,PULSOS,TRAMOT
G001_20211112_203000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G001_20211115_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G001_20211116_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G001_20211116_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
G001_20211126_080000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G001_20211129_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G002_20211124_203000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G002_20211125_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G002_20211127_083000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G002_20211128_083000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G002_20211128_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G002_20211129_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G003_20211111_180000.WAV,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
G003_20211115_190000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G003_20211121_193000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
G003_20211123_083000.WAV,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
G003_20211125_180000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
G003_20211128_050000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G004_20211109_193000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
G004_20211115_190000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G004_20211118_183000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
G004_20211120_180000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
G004_20211125_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G004_20211125_190000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
G005_20211111_083000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
G005_20211113_203000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G005_20211114_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G005_20211117_190000.WAV,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
G005_20211120_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G005_20211124_053000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G006_20211115_073000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G006_20211118_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
G006_20211118_200000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
G006_20211122_083000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G006_20211124_073000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G006_20211126_070000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G007_20211112_200000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G007_20211116_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G007_20211116_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G007_20211122_180000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G007_20211123_073000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G007_20211128_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G008_20211112_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G008_20211114_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G008_20211114_183000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G008_20211116_050000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G008_20211117_060000.WAV,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
G008_20211125_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G010_20211107_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
G010_20211109_183000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
G010_20211111_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G010_20211111_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
G010_20211118_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G010_20211124_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G011_20211106_063000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G011_20211109_073000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G011_20211116_180000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G011_20211122_070000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G011_20211125_053000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G011_20211125_083000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G012_20211109_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G012_20211112_190000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
G012_20211114_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G012_20211119_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G012_20211127_170000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G012_20211128_073000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G013_20211113_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G013_20211113_183000.WAV,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
G013_20211115_183000.WAV,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
G013_20211119_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G013_20211121_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G013_20211128_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20211111_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20211112_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20211117_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20211120_200000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G014_20211126_083000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G014_20211128_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G015_20211110_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G015_20211111_180000.WAV,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
G015_20211112_070000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G015_20211113_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G015_20211123_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G015_20211124_060000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G016_20211109_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G016_20211110_193000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
G016_20211121_083000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G016_20211122_063000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G016_20211125_183000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G016_20211128_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
G017_20211107_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G017_20211109_070000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G017_20211115_083000.WAV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
G017_20211115_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G017_20211116_083000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G017_20211123_183000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G018_20211113_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
G018_20211113_170000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G018_20211121_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G018_20211121_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G018_20211122_070000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G018_20211125_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G019_20211111_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
G019_20211111_203000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
G019_20211117_180000.WAV,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
G019_20211123_060000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G019_20211125_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G019_20211127_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G020_20211109_173000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
G020_20211109_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
G020_20211109_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G020_20211113_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G020_20211114_063000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G020_20211121_050000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G021_20211111_180000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G021_20211116_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G021_20211119_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G021_20211121_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G021_20211125_203000.WAV,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
G021_20211129_050000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G022_20211112_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G022_20211113_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G022_20211113_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G023_20211113_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G023_20211116_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G023_20211118_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G023_20211118_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G023_20211122_073000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G023_20211122_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
G024_20211105_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20211111_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20211115_050000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20211116_190000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20211117_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20211121_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
G025_20211112_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
G025_20211112_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
G025_20211114_203000.WAV,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
G025_20211117_190000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
G025_20211117_200000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
G025_20211122_183000.WAV,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
G026_20211109_080000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G026_20211121_183000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G026_20211122_180000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G026_20211124_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G026_20211126_180000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G026_20211128_060000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G027_20211110_183000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G027_20211110_203000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G027_20211111_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
G027_20211115_060000.WAV,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
G027_20211118_180000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G027_20211125_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G028_20211105_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G028_20211111_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G028_20211112_180000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
G028_20211113_203000.WAV,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G028_20211119_080000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
G028_20211122_180000.WAV,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
G02A_20211117_170000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
G02A_20211118_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G02A_20211121_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G02A_20211126_060000.WAV,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
G02A_20211128_173000.WAV,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
G02A_20211129_080000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
G030_20211111_080000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G030_20211115_190000.WAV,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
G030_20211116_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G030_20211125_193000.WAV,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
G030_20211126_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G030_20211127_060000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G031_20211113_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G031_20211120_053000.WAV,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
G031_20211120_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G031_20211124_170000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
G031_20211128_070000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G031_20211128_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
G032_20211108_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G032_20211111_193000.WAV,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G032_20211115_170000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G032_20211125_073000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
G032_20211129_060000.WAV,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
G032_20211130_060000.WAV,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
G033_20211115_060000.WAV,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
G033_20211117_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
G033_20211117_190000.WAV,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
G033_20211118_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
G033_20211126_170000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
G033_20211128_190000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
G034_20211109_203000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
