"NMDS1","NMDS2","Cobertura","sensor_name"
-0.3026506358589,0.0153775294151466,"Palma","G001"
-0.530443008307146,-0.0986262980505239,"Herbazales","G002"
-0.0461932985404623,0.122293306430737,"Bosque Ripario","G003"
-0.086598238664994,0.132704764640878,"Palma","G004"
1.45452627668672,-0.56979223006827,"Bosque Ripario","G005"
0.288397499757676,0.584332085716963,"Bosque Ripario","G006"
-0.456997542062911,-0.00212501848683678,"Pastos","G007"
-0.727650520794123,0.127724694262118,"Palma","G008"
0.345015573246629,-0.599811769162625,"Bosque Ripario","G010"
0.670785710485952,-0.0641649376107305,"Bosque Ripario","G011"
-0.289952447339934,-0.997104387299654,"Palma","G012"
-0.331757607343774,-0.353990542883573,"Herbazales","G013"
-0.332518593726492,0.034261486959314,"Palma","G014"
0.00456969650507927,-0.50110083980735,"Pastos","G015"
0.465392417072588,-0.0512224157657808,"Bosque Ripario","G016"
1.09799993964393,0.338315794255234,"Bosque Denso","G017"
-0.555398342899004,0.162434906391406,"Palma","G018"
-0.582122924865125,-0.264065806864226,"Pastos","G019"
-0.629349018779407,0.231354642881223,"Bosque Ripario","G020"
-0.0710107594916978,-0.123210765732585,"Palma","G021"
0.0588881282311183,0.0178493928893073,"Bosque Ripario","G022"
0.917581945265627,0.139235958348169,"Bosque Ripario","G023"
-0.537813823350534,0.0842028105047867,"Palma","G024"
0.635882245860007,-0.331202861277727,"Bosque Ripario","G025"
-0.546395641578044,0.160760509917736,"Palma","G026"
0.0752130391733609,0.61672103235086,"Bosque Ripario","G027"
-0.31289348218025,0.101839833567537,"Bosque Ripario","G028"
-0.319452459952188,-0.298944583162399,"Bosque Abierto","G02A"
0.961135948654172,-0.130741688745809,"Bosque Ripario","G030"
-0.361597453424432,-0.472761792807396,"Palma","G031"
0.00641449948180437,-0.0900314733973989,"Bosque Ripario","G032"
0.501404136580715,-0.0224229078689933,"Bosque Ripario","G033"
0.80733280138894,0.655354221008694,"Bosque Ripario","G034"
-0.461550410365803,-0.0310321711867427,"Herbazales","G035"
0.34059390838963,-0.2195545273048,"Palma","G036"
-0.848570758174974,0.174710341299794,"Palma","G037"
0.332019594953218,0.165721606861129,"Bosque Ripario","G038"
-0.158182348232648,-0.0608546748607424,"Palma","G039"
-0.281283840397437,-0.126041530912122,"Palma","G040"
-0.394841346807722,-0.508698935564832,"Palma","G041"
-0.671635306339397,-0.0990496325609917,"Bosque Ripario","G042"
-0.473779993323584,0.125877112507881,"Bosque Ripario","G043"
0.455836521050257,0.0520300559577255,"Bosque Ripario","G045"
0.20974086354307,0.721801201591907,"Bosque Ripario","G046"
-0.535560039244143,0.143515753660391,"Bosque Ripario","G047"
0.199774594819951,-0.351327431643011,"Palma","G048"
-0.25905027133464,0.0664622393972125,"Palma","G049"
-0.315470085427288,0.124773880083495,"Palma","G050"
-0.585780425429076,0.153473707389011,"Palma","G051"
0.742834972468655,0.0434463520426011,"Bosque Ripario","G052"
-0.140206831505195,-0.177639259414392,"Palma","G053"
0.110133224012609,0.172817809944447,"Bosque Ripario","G054"
-0.171761669299295,-0.134431276707877,"Herbazales","G055"
0.0156940044094878,-0.0658315952032533,"Palma","G056"
-0.428608604199386,0.0965262672010302,"Bosque Ripario","G057"
-0.0974240726642406,0.59085855322489,"Bosque Ripario","G058"
-0.570131487820661,-0.0717072892989197,"Bosque Ripario","G059"
-0.613391524795901,0.0163156736355451,"Palma","G060"
-0.476856977235385,0.140979516715765,"Palma","G061"
0.696672706528711,-0.244365064124775,"Bosque Ripario","G062"
0.127558437919925,-0.530191391045267,"Herbazales","G063"
0.591195060513015,0.325699025783572,"Bosque Ripario","G064"
0.632049327187495,0.140385592611721,"Bosque Ripario","G065"
0.745459889091144,-0.14582921346337,"Bosque Ripario","G066"
-0.697973376922421,0.0216783196519595,"Herbazales","G067"
-0.11787621612904,0.0267894602682393,"Palma","G068"
-0.0599123630184289,0.220387125949553,"Bosque Ripario","G069"
-0.425232622786177,0.0866547682126984,"Palma","G070"
-0.285385396603278,-0.210243150776457,"Palma","G071"
0.237503502162488,0.0577196452864002,"Bosque Ripario","G072"
0.618083747397027,-0.281522385768556,"Bosque Ripario","G074"
-0.0537145179378139,0.326871093842229,"Palma","G075"
-0.424675581553434,0.210185094715508,"Palma","G076"
0.966732500163034,-0.0455229933201212,"Bosque Ripario","G077"
-0.523554197786664,0.103352593500694,"Palma","G078"
-0.499807226610629,-0.320080767255263,"Herbazales","G079"
0.743030561418874,0.583901009269493,"Bosque Ripario","G080"
0.496556399567823,-0.491422754167879,"Herbazales","G081"
-0.131482115683351,0.234004622113078,"Bosque Ripario","G082"
0.26526407559197,-0.0540951589740108,"Bosque Ripario","G083"
0.314437682770359,0.0321674286630869,"Palma","G084"
0.431472378032583,-0.607689586542766,"Bosque Ripario","G085"
-0.417632063034964,0.0682439918877075,"Palma","G086"
-0.0237900982129709,0.0063488168887254,"Bosque Ripario","G087"
-0.571392815848646,0.124020675970863,"Palma","G088"
0.902865527628563,0.433119148730191,"Bosque Ripario","G089"
-0.171038536312978,-0.0157577454219412,"Bosque Ripario","G090"
-0.378254279447108,0.235376698896887,"Bosque Denso","G091"
0.472265059876824,-0.552699014717866,"Herbazales","G092"
0.488805128340456,0.741029651106024,"Bosque Denso","G093"
-0.608286718543881,-0.0601304449796612,"Palma","G094"
0.0500369681865999,0.244981286368413,"Bosque Ripario","G095"
0.285724357217694,-0.124558838545584,"Bosque Ripario","G096"
-0.146213590464015,0.0584826468299892,"Bosque Ripario","G097"
0.374445925614482,0.290418309397547,"Bosque Ripario","G098"
0.115308089232758,-0.647643033332163,"Herbazales","G099"
-0.211531357471028,0.263350139087729,"Bosque Ripario","G100"
