,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1
15,0.36684379577636717,0.052960717144320976,0.10769224166870117,0.0016430090778756128,10,100,"{'max_features': 10, 'n_estimators': 100}",0.8484848484848485,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.896551724137931,0.7999999999999999,0.8275862068965517,0.8387096774193549,0.8666666666666666,0.9375,0.8415128341254594,0.051724149831500865,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.9963333606719971,0.10584657868254065,0.11039543151855469,0.003897553157102555,6,300,"{'max_features': 6, 'n_estimators': 300}",0.8387096774193549,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.896551724137931,0.7999999999999999,0.8275862068965517,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8399035965888023,0.04680495865974805,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,1.2477173566818238,0.11176660292064361,0.10785174369812012,0.0022915560348444404,10,300,"{'max_features': 10, 'n_estimators': 300}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7741935483870969,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8336116260865982,0.055870770851365,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,2.0150766134262086,0.14169745983108373,0.10761003494262696,0.002361168813100987,10,500,"{'max_features': 10, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8311922712478885,0.058836462874855604,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.36366658210754393,0.029357053152093165,0.12558622360229493,0.017626825882787477,14,100,"{'max_features': 14, 'n_estimators': 100}",0.8125,0.7741935483870968,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7741935483870969,0.7999999999999999,0.875,0.8666666666666666,0.9032258064516129,0.8286890269023195,0.04057280059418569,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,2.341094970703125,0.1963793893981885,0.10875127315521241,0.0021200907562437814,14,500,"{'max_features': 14, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.875,0.8666666666666666,0.9375,0.8283696906027274,0.05591771716167481,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,1.3831241846084594,0.11949395077528152,0.11072707176208496,0.00232886646390596,14,300,"{'max_features': 14, 'n_estimators': 300}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.7692307692307693,0.75,0.8275862068965517,0.9032258064516129,0.8666666666666666,0.9375,0.8266338666894839,0.061628329336484565,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.7688748598098756,0.088241583856952,0.11029262542724609,0.004933727194027563,6,500,"{'max_features': 6, 'n_estimators': 500}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.7586206896551724,0.8275862068965517,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8249710068800724,0.04781401616186713,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.10851244926452637,0.0017920654200340533,0.10746424198150635,0.0016487139884384394,10,10,"{'max_features': 10, 'n_estimators': 10}",0.8125,0.7333333333333334,0.7857142857142857,0.8666666666666666,0.7857142857142857,0.75,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8237154377880185,0.05506176777977658,9,0.9895470383275261,0.9824561403508771,0.9790209790209791,0.9826989619377163,0.975609756097561,0.9861111111111112,0.9861111111111112,0.9790209790209791,0.9862068965517242,0.9896907216494845,0.983647369517907,0.0044693191023247245
29,2.69776029586792,0.22308647441033222,0.1093672513961792,0.0014410568261310488,18,500,"{'max_features': 18, 'n_estimators': 500}",0.787878787878788,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.8148148148148148,0.75,0.8275862068965517,0.8484848484848485,0.8666666666666666,0.9375,0.823256054239091,0.05533924295004955,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.10754251480102539,0.0017691036789699106,0.10568242073059082,0.00191188473075529,10,5,"{'max_features': 10, 'n_estimators': 5}",0.8749999999999999,0.7741935483870968,0.7857142857142857,0.787878787878788,0.7407407407407406,0.7741935483870969,0.7999999999999999,0.8666666666666666,0.8484848484848485,0.9375,0.8190372426259522,0.05735583668873136,11,0.9614035087719298,0.972027972027972,0.9825783972125435,0.9829351535836177,0.9790209790209791,0.9686411149825784,0.9686411149825784,0.9861111111111112,0.9828178694158075,0.9686411149825784,0.9752818336091696,0.007970899506725788
9,0.28018803596496583,0.054155860167867755,0.10663557052612305,0.0028593068539233013,6,100,"{'max_features': 6, 'n_estimators': 100}",0.8125,0.7333333333333334,0.8275862068965517,0.8387096774193549,0.7692307692307693,0.7999999999999999,0.7857142857142857,0.8666666666666666,0.8275862068965517,0.9032258064516129,0.8164552952609127,0.0460045677382247,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1.614554190635681,0.10640058746456038,0.10840895175933837,0.0025292243036183154,18,300,"{'max_features': 18, 'n_estimators': 300}",0.787878787878788,0.7333333333333334,0.7857142857142857,0.8387096774193549,0.8148148148148148,0.7272727272727272,0.8275862068965517,0.8484848484848485,0.8387096774193549,0.9375,0.8140004359234059,0.05775722494340811,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,0.10916712284088134,0.0028838528431580188,0.10799436569213867,0.0022509271917812105,18,5,"{'max_features': 18, 'n_estimators': 5}",0.8387096774193549,0.8000000000000002,0.7857142857142857,0.8125,0.7692307692307693,0.7096774193548386,0.8275862068965517,0.8823529411764706,0.7741935483870969,0.9375,0.8137464848179367,0.060157505868180285,14,0.9754385964912282,0.9825783972125435,0.9724137931034483,0.975609756097561,0.9727891156462585,0.9896907216494845,0.9793103448275863,0.9577464788732394,0.9791666666666666,0.968421052631579,0.9753164923199595,0.008132005297081682
19,0.1081660509109497,0.002303615203262271,0.10561342239379883,0.0013646388344621988,14,5,"{'max_features': 14, 'n_estimators': 5}",0.7999999999999999,0.7500000000000001,0.7272727272727272,0.787878787878788,0.8125,0.75,0.8275862068965517,0.8387096774193549,0.9032258064516129,0.9375,0.8134673205919036,0.06371812755944667,15,0.9791666666666666,0.986111111111111,0.9761092150170648,0.9793103448275863,0.9863013698630136,0.9650349650349651,0.9793103448275863,0.9863013698630136,0.9616724738675957,0.975609756097561,0.9774927617176165,0.008061056960287374
27,0.5271244049072266,0.053399215097528326,0.10849559307098389,0.0030455391493533182,18,100,"{'max_features': 18, 'n_estimators': 100}",0.7500000000000001,0.7333333333333334,0.7857142857142857,0.8125,0.8148148148148148,0.7272727272727272,0.8666666666666666,0.875,0.8275862068965517,0.9375,0.8130388034698379,0.06391408319734788,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.2513234853744507,0.015741754581681963,0.10655434131622314,0.0018774035264778684,2,100,"{'max_features': 2, 'n_estimators': 100}",0.8666666666666666,0.7142857142857143,0.7857142857142857,0.8387096774193549,0.7692307692307693,0.7586206896551724,0.7857142857142857,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8118942088686248,0.05317479645954798,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.3011009454727174,0.06616663151706488,0.10753347873687744,0.00254595376637301,2,500,"{'max_features': 2, 'n_estimators': 500}",0.8666666666666666,0.7142857142857143,0.8571428571428571,0.8387096774193549,0.6086956521739131,0.7586206896551724,0.7857142857142857,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.806639468284291,0.08612342395552956,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.819754958152771,0.07679690224380678,0.10779602527618408,0.006326339435966251,2,300,"{'max_features': 2, 'n_estimators': 300}",0.8666666666666666,0.7142857142857143,0.8275862068965517,0.8387096774193549,0.6666666666666666,0.7142857142857143,0.7857142857142857,0.8666666666666666,0.8666666666666666,0.9032258064516129,0.8050474071719899,0.07659589555428001,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.11006348133087158,0.0013648210953194641,0.10610408782958984,0.0019764094221249523,14,10,"{'max_features': 14, 'n_estimators': 10}",0.787878787878788,0.6896551724137931,0.7999999999999999,0.8387096774193549,0.7407407407407406,0.75,0.8148148148148148,0.7999999999999999,0.8666666666666666,0.9032258064516129,0.7991691666385771,0.05928371711647876,20,0.972027972027972,0.993103448275862,0.9791666666666666,0.9825783972125435,0.9896193771626297,0.9790209790209791,0.9861111111111112,0.9720279720279721,0.9825783972125435,0.975609756097561,0.9811844076815841,0.006699851711456865
7,0.10859534740447999,0.002147227615379859,0.10636017322540284,0.002057025653738537,6,5,"{'max_features': 6, 'n_estimators': 5}",0.7500000000000001,0.8000000000000002,0.8275862068965517,0.787878787878788,0.6923076923076923,0.7586206896551724,0.7857142857142857,0.7999999999999999,0.8666666666666666,0.8666666666666666,0.7935440995785823,0.050392446928050956,21,0.9574468085106382,0.986111111111111,0.9720279720279721,0.9863013698630136,0.9761092150170648,0.975609756097561,0.9616724738675957,0.9577464788732394,0.9657534246575342,0.975609756097561,0.9714388366123291,0.010020411411176834
26,0.10872995853424072,0.0017811752550591505,0.10782401561737061,0.0020511245695447066,18,10,"{'max_features': 18, 'n_estimators': 10}",0.7741935483870968,0.7741935483870968,0.8275862068965517,0.7999999999999999,0.7857142857142857,0.7058823529411765,0.7857142857142857,0.7857142857142857,0.7999999999999999,0.8666666666666666,0.7905665180421445,0.038881691980209174,22,0.9679715302491103,0.9860139860139859,0.971830985915493,0.9724137931034483,0.993103448275862,0.9861111111111112,0.9790209790209791,0.9754385964912281,0.9791666666666666,0.9896193771626297,0.9800690474010514,0.007931743467219763
8,0.11158268451690674,0.00538232558007501,0.1079482078552246,0.006104192341602128,6,10,"{'max_features': 6, 'n_estimators': 10}",0.6666666666666667,0.6896551724137931,0.8571428571428571,0.7999999999999999,0.6666666666666666,0.7586206896551724,0.8387096774193549,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.787746172996451,0.08126456772453942,23,0.9896193771626298,0.9860139860139859,0.968421052631579,0.9754385964912281,0.9720279720279721,0.9825783972125435,0.993103448275862,0.993103448275862,0.993103448275862,0.9754385964912281,0.9828848322858754,0.008980340361169065
1,0.10737664699554443,0.0016194709707829842,0.10555191040039062,0.0013764749306455055,2,5,"{'max_features': 2, 'n_estimators': 5}",0.8387096774193549,0.7741935483870968,0.7407407407407406,0.75,0.6666666666666666,0.6666666666666666,0.787878787878788,0.8666666666666666,0.7741935483870969,0.9333333333333333,0.779904963614641,0.07920141508290181,24,0.968421052631579,0.9616724738675958,0.993103448275862,0.9688581314878892,0.9863013698630136,0.9896907216494845,0.9825783972125435,0.96113074204947,0.9681978798586572,0.9754385964912281,0.9755392813387325,0.011060029543506026
2,0.10949101448059081,0.0025780494348360654,0.10732579231262207,0.0014338151612441838,2,10,"{'max_features': 2, 'n_estimators': 10}",0.8387096774193549,0.6896551724137931,0.7586206896551724,0.7333333333333334,0.8148148148148148,0.6206896551724138,0.7407407407407406,0.8275862068965517,0.8148148148148148,0.9032258064516129,0.7742190911712602,0.07791273467431624,25,0.9965397923875432,0.9895470383275261,0.9825783972125435,0.9825783972125435,0.9825783972125435,0.9825783972125435,0.9754385964912281,0.9861111111111112,0.9826989619377163,0.9896907216494845,0.9850339810754785,0.0054519731265053415
12,0.10727694034576415,0.0034821968422750855,0.002931070327758789,0.00034666859618891975,10,1,"{'max_features': 10, 'n_estimators': 1}",0.9411764705882353,0.6896551724137931,0.7741935483870969,0.8823529411764706,0.7741935483870969,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.75,0.8484848484848485,0.7730664082803715,0.08667065481731061,26,0.8912280701754385,0.89198606271777,0.8904109589041096,0.9072164948453607,0.9158249158249159,0.8989547038327526,0.8936170212765958,0.8821548821548821,0.8982456140350877,0.8958333333333333,0.8965472057100247,0.008928212592512438
24,0.1098438024520874,0.0029334399528660126,0.002869534492492676,0.0002802503669780261,18,1,"{'max_features': 18, 'n_estimators': 1}",0.7777777777777778,0.8888888888888888,0.742857142857143,0.7000000000000001,0.6206896551724138,0.7272727272727272,0.7058823529411765,0.7647058823529411,0.787878787878788,0.9411764705882353,0.7657129685730092,0.08804961353125657,27,0.9020979020979021,0.9130434782608696,0.9241379310344828,0.9328859060402684,0.9078498293515359,0.9036544850498338,0.9241379310344828,0.9030100334448161,0.9115646258503401,0.8972602739726028,0.9119642396137134,0.011023372992333512
18,0.10907678604125977,0.002374941920313047,0.0028173446655273436,0.00015326112257233273,14,1,"{'max_features': 14, 'n_estimators': 1}",0.6896551724137931,0.7567567567567567,0.7647058823529411,0.7000000000000001,0.6206896551724138,0.8108108108108109,0.75,0.8333333333333334,0.7058823529411765,0.7999999999999999,0.7431833963781226,0.06143995875814734,28,0.9146757679180887,0.9055374592833876,0.9246575342465754,0.9146757679180887,0.8850174216027875,0.9387755102040816,0.9060402684563759,0.8970099667774086,0.9183673469387755,0.9133333333333333,0.9118090376678903,0.014012352664883819
6,0.10648224353790284,0.0018864216083562498,0.002667832374572754,1.5968723976691856e-05,6,1,"{'max_features': 6, 'n_estimators': 1}",0.7777777777777778,0.6428571428571428,0.7096774193548386,0.75,0.742857142857143,0.6153846153846154,0.6206896551724138,0.6666666666666666,0.8484848484848485,0.7777777777777777,0.7152173046333223,0.07354423875581348,29,0.8851351351351352,0.910958904109589,0.9163879598662208,0.8821548821548821,0.894915254237288,0.8992805755395684,0.9072164948453607,0.9078498293515359,0.8561872909698995,0.8827586206896552,0.8942844946899134,0.017199690984221392
0,0.10868539810180664,0.0026786532233608754,0.003949975967407227,0.0009428202356624515,2,1,"{'max_features': 2, 'n_estimators': 1}",0.7567567567567567,0.6060606060606061,0.7096774193548386,0.75,0.5517241379310345,0.6428571428571429,0.6341463414634146,0.6666666666666667,0.7567567567567567,0.7142857142857143,0.6788931542132932,0.06656490527649256,30,0.9016949152542374,0.8503401360544218,0.8750000000000001,0.9209621993127147,0.8581314878892733,0.8934707903780068,0.9003436426116839,0.9295774647887325,0.894915254237288,0.8927335640138407,0.89171694545402,0.023656926741149584
