Fecha,Hora,Estación ANH,Grabadora,dosel (%),Estado de la grabadora,Descripción de vegetación,Ruido 1,Ruido 2,Ruido 3,Ruido 4,Cambio de memoria ,Cambio de baterías,Play Chime,Foto de vegetación,Instaladores
16/04/2022,10:25:00,ANH393,G6606,,,,,,,,,,,,
16/04/2022,11:12:00,ANH284,G002,17.2,Buena,Bosque. cerca a vía.,54.9,53.8,43.8,52.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 11.14.39.jpg,Cristina Carranza
16/04/2022,11:52:00,ANH364,G038,23.36,Buena,Bosque. entre palma y bosque.,33.9,38,41.7,53.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 11.53.09.jpg,Cristina Carranza
16/04/2022,12:23:00,ANH058,G017,44.57,Buena,Bosque. junto a cañada.,56.6,52.6,57.5,59.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 12.24.51.jpg,Cristina Carranza
16/04/2022,13:17:00,ANH095,G088,16.81,Buena,Bosque. al borde de palma,47.6,63.6,61.4,55.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 13.18.21.jpg,Cristina Carranza
16/04/2022,13:51:00,ANH217,G021,17.86,Buena,Palma. al borde de bosque,55.5,41.8,44.1,44,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-16 13.51.52.jpg,Cristina Carranza
17/04/2022,8:18:00,ANH254,G045,3.41,Buena,Palma. crecimiento de herbáceas al rededor ,64.3,57.7,45.7,58.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 08.20.17.jpg,Cristina Carranza
17/04/2022,9:19:00,ANH236,G059,44.79,Buena,Bosque. mayor hojarasca ,54.3,58.6,58.5,49.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 09.20.47.jpg,Cristina Carranza
17/04/2022,9:52:00,ANH182,G018,50.77,Buena,Bosque. La cámara estaba apagada ,38.7,46.4,34.7,45.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 09.54.51.jpg,Cristina Carranza
17/04/2022,11:13:00,ANH159,G033,13.19,Buena,Bosque.,60.8,55.6,58.2,45.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 11.14.36.jpg,Cristina Carranza
17/04/2022,11:54:00,ANH160,G070,22.23,Buena,Bosque .,61.7,64.1,61.7,64.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 11.55.04.jpg,Cristina Carranza
17/04/2022,12:44:00,ANH235,G022,35.68,Buena,Bosque. Árboles caídos alrededor de la cámara.,57.2,64,60.7,51,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 12.44.32.jpg,Cristina Carranza
17/04/2022,13:27:00,ANH183,G071,17.59,Buena,Bosque. mucho zancudo,59.5,55.9,54.2,46.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 13.28.32.jpg,Cristina Carranza
17/04/2022,13:44:00,ANH234,G043,36.42,Buena,Bosque,61.9,64.1,60.9,55.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 13.45.30.jpg,Cristina Carranza
17/04/2022,14:16:00,ANH181,G058,52.4,Buena,bosque. Junto a caño. mayor hojarasca,54.1,52.3,52.4,49.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-17 14.17.07.jpg,Cristina Carranza
19/04/2022,8:04:00,ANH290,G097,34.61,Buena,Bosque. frente a la cámara agua a la altura de la pantorrilla,52.8,59.7,50.3,49.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 08.06.20.jpg,Cristina Carranza
19/04/2022,9:16:00,ANH360,G016,28.72,Buena,Bosque. La quebrada está crecida,,,,,,,,,
19/04/2022,10:21:00,ANH375,G047,50.54,Buena,Bosque. sin cambios significativos en la vegetación. lloviendo ,65.1,70.5,64.8,58,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 10.22.55.jpg,Cristina Carranza
19/04/2022,11:12:00,ANH289,G036,17.01,Buena,Bosque. Mayor hojarasca ,55.5,53.9,59.3,54.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 11.13.39.jpg,Cristina Carranza
19/04/2022,11:46:00,ANH189,G072,15.16,Buena,Bosque. mayor hojarasca. Más erosión por el paso de agua ,41.3,65.8,50,48.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 11.47.55.jpg,Carranza Cristina
19/04/2022,12:21:00,ANH390,G006,38.55,Buena,Bosque. Mayor hojarasca ,41.5,53.7,54.5,61.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 12.22.37.jpg,Cristina Carranza
19/04/2022,12:59:00,ANH062,G010,11.82,Buena,Palma. sin cambios en la vegetación ,59.1,39.5,46.3,58.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-19 13.00.30.jpg,Cristina Carranza
20/04/2022,8:21:00,ANH240,G076,34.21,Buena,Bosque. sin cambios significativos ,52.6,48.2,59.7,55.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 08.22.20.jpg,Cristina Carranza
20/04/2022,8:53:00,ANH241,G050,33.56,Buena,Bosque. quebrada con mayor nivel de agua,46.5,48.7,45.2,44.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 08.54.37.jpg,Cristina Carranza
20/04/2022,9:16:00,ANH275,G066,32.14,Buena,Bosque. mayor humedad ,56.1,55.2,60.9,57.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 09.17.03.jpg,Cristina Carranza
20/04/2022,9:56:00,ANH209,G062,8.53,Buena,Palma olvidada. sin cambios significativos. CT golpeada. grabadora sin membrana,56.2,58.1,55.8,49.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 09.58.02.jpg,Cristina Carranza
20/04/2022,10:52:00,ANH238,G024,51.67,Buena,Bosque. sin cambios ,55.8,46.5,50.2,55.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 10.53.51.jpg,Cristina Carranza
20/04/2022,12:24:00,ANH208,G098,8.88,Buena,Palma. sin cambios significativos ,56.2,55.2,60.3,61,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 12.25.35.jpg,Cristina Carranza
20/04/2022,11:33:00,ANH239,G055,33.4,Buena,Bosque. sin cambios ,55.2,50.7,56.1,48.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.09.22.jpg,Cristina Carranza
20/04/2022,13:18:00,ANH253,G080,25.7,Buena,Bosque. sin cambios ,49.3,56.2,55.9,59.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.11.32.jpg,Cristina Carranza
20/04/2022,14:11:00,ANH229,G099,20.9,Buena,Bosque. sin cambios ,60.1,56.2,58.4,61.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-20 19.13.16.jpg,Cristina Carranza
21/04/2022,8:19:00,ANH370,G051,26.17,Buena,Bosque. Rastro de caída de árboles ,58.2,47.3,62.3,53.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 08.19.55.jpg,Cristina Carranza
21/04/2022,8:58:00,ANH233,G087,21.48,Buena,Bosque. Caída de ramas alrededor de la CT. cámara trampa en buen estado,,,,,,,,,
21/04/2022,9:52:00,ANH231,G090,21.14,Buena,Bosque. Rastro de inundación ,53.1,53.8,61.6,52.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 09.56.09.jpg,Cristina Carranza
21/04/2022,10:33:00,ANH225,G069,12.09,Buena,Palma. no cambios en la vegetación. CT golpeada por búfalo. memoria llena de pasto. Grabadora sin membrana. ,52.8,53.4,61.2,56.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 10.34.57.jpg,Cristina Carranza
21/04/2022,11:54:00,ANH230,G032,54.53,Buena,Bosque. Mayor humedad ,39.7,43.6,49,44.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 11.55.46.jpg,Cristina Carranza
21/04/2022,12:11:00,ANH221,G067,0,Robada ,Palma. sin cambios.,0,0,0,0,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 12.12.06.jpg,Cristina Carranza
21/04/2022,12:40:00,ANH232,G007,47.26,Buena,Bosque. sin cambios en la vegetación ,46.2,41.3,55.3,40.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 12.40.32.jpg,Cristina Carranza
21/04/2022,13:07:00,ANH351,G060,9.54,Buena,Palma.  Sin cambios significativos ,52.4,55.9,60.2,50.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-21 13.08.20.jpg,Cristina Carranza
22/04/2022,7:59:00,ANH291,G008,19.18,Buena,Herbazal. CT inundada ,53.3,57,58.3,50.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 08.01.10.jpg,Cristina Carranza
22/04/2022,8:36:00,ANH166,G077,5.18,Buena,Pastizal. el pasto creció.,57.2,53.4,59.1,55,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 08.38.05.jpg,Cristina Carranza
22/04/2022,9:34:00,ANH197,G089,46.69,Buena,Arbustal tardío ,55.4,55.6,56.7,57.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 09.35.24.jpg,Cristina Carranza
22/04/2022,10:47:00,ANH081,G026,30.53,Buena,Herbazal,43.3,39,56.2,52.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 10.48.30.jpg,Cristina Carranza
22/04/2022,11:27:00,ANH012,G057,11.87,Buena,Bosque. sin cambios ,30.1,51,45.6,42.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 11.29.26.jpg,Cristina Carranza
22/04/2022,11:57:00,ANH106,G068,22.27,Buena,Bosque. quebrada crecida,37.4,53.9,47.4,54.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 11.58.22.jpg,Cristina Carranza
22/04/2022,12:36:00,ANH283,G082,15.83,Buena,Herbazal. sin cambios significativos ,52.2,34.7,41.8,50.77,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-22 12.37.34.jpg,Cristina Carranza
23/04/2022,7:57:00,ANH214,G013,35.96,Buena,Palma. en flor. sin cambios significativos ,58.7,53.7,56.1,54.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-23 07.58.49.jpg,Cristina Carranza
23/04/2022,8:50:00,ANH077,G020,27.81,Buena,Bosque. sin cambios. CT con problemas de humedad.,56.8,59,56.5,60.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-23 08.51.03.jpg,Cristina Carranza
23/04/2022,9:18:00,ANH312,G085,0,Robada ,Bosque,0,0,0,0,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-23 09.18.59.jpg,Cristina Carranza
23/04/2022,9:53:00,ANH215,G064,51.16,Buena,Bosque. mayor hojarasca. CT no encendió al primer intento,57.3,57.8,51.9,46.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-23 09.54.21.jpg,Cristina Carranza
23/04/2022,11:51:00,ANH363,G086,11.67,Buena,bosque.CT no enciende ,47.1,58,62.3,51.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-23 11.52.52.jpg,Cristina Carranza
24/04/2022,7:50:00,ANH350,G012,27.55,Buena,Palma. CT movida por vacas,56.2,58,54.1,53.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 07.51.04.jpg,Cristina Carranza
24/04/2022,8:56:00,ANH099,G039,21.78,Buena,Bosque. sin cambios significativos ,57.5,36.5,51.6,50.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 08.57.08.jpg,Cristina Carranza
24/04/2022,9:30:00,ANH336,G083,35.21,Buena,Bosque. sin cambios significativos. mucho zancudo ,51,63,50.3,43.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 09.30.43.jpg,Cristina Carranza
24/04/2022,10:02:00,ANH227,G079,53.21,Buena,Palma. sin cambios. memoria de la CT no funcionó ,47.1,50.1,58.7,41.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 10.05.28.jpg,Cristina Carranza
24/04/2022,10:31:00,ANH248,G030,20.84,Buena,Bosque. sin cambios. CT se desconfigura.,62.2,59.7,57.1,44.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 10.32.42.jpg,Cristina Carranza
24/04/2022,11:05:00,ANH279,G078,13,Buena,Palma adulta. en desuso,40.1,43.6,36.4,36.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 11.06.39.jpg,Cristina Carranza
24/04/2022,11:26:00,ANH338,G063,38.54,Buena,Bosque. cerca a cultivo de palma,53.9,45.5,52.2,64.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 11.28.05.jpg,Cristina Carranza
24/04/2022,11:56:00,ANH069,G031,9.4,Buena,Palma. en fruto,37.1,45.1,42.2,51.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 11.57.42.jpg,Cristina Carranza
24/04/2022,12:39:00,ANH222,G019,46.8,Buena,Palma olvidada. sitio inundado ,48.7,39.7,41.1,62.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 12.39.38.jpg,Cristina Carranza
24/04/2022,13:12:00,ANH317,G091,43.12,Buena,Bosque. sin cambios significativos ,40.1,48.1,58.6,53.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-24 13.13.43.jpg,Cristina Carranza
25/04/2022,9:00:00,ANH361,G6611,15.56,Buena,Bosque,59.7,70.4,59.5,56.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 09.25.23.jpg,"Cristina Carranza, O. Fabián Hernández-Leal"
25/04/2022,9:00:00,ANH361,G6585,15.56,Buena,Bosque,59.7,70.4,59.5,56.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 09.25.23.jpg,"Cristina Carranza, O. Fabián Hernández-Leal"
25/04/2022,10:54:00,ANH389,G056,27.69,Buena,Bosque. aumentó el nivel del agua de la Ciénaga ,52.3,56.2,48,55.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 10.55.29.jpg,Cristina Carranza
25/04/2022,11:31:00,ANH388,G054,18.7,Buena,Palma. creció pasto alrededor de la CT,53,48.1,50.9,46.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 11.32.18.jpg,Cristina Carranza
25/04/2022,12:06:00,ANH282,G027,18.02,Buena,Herbazal. mayor cantidad de agua,"46.0""",53.7,54.6,59.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 12.08.51.jpg,Cristina Carranza
25/04/2022,13:39:00,ANH212,G081,13.02,Buena,Palma. Más pasto en el sitio,63.1,59.9,53.1,50.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 13.39.56.jpg,Cristina Carranza
25/04/2022,14:30:00,ANH031,G028,47.05,Buena,Ciénaga. nivel del agua aproximadamente a 90 cm,54.3,45,53.5,45.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 14.31.24.jpg,Cristina Carranza
25/04/2022,15:23:00,ANH274,G001,42.01,Buena,Bosque. mayor hojarasca.,45,47.4,44.6,62.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-25 15.23.51.jpg,Cristina Carranza
26/04/2022,9:15:00,ANH192,G025,57.93,Buena,Arbustal. mucha agua alrededor,63,60.9,58.6,59.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 09.18.25.jpg,Cristina Carranza
26/04/2022,11:07:00,ANH121,G014,16.74,Buena,Bosque. inundado por la quebrada Caños Negros. Grabadora sin membrana ,61.6,57.4,58.3,59.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 11.07.31.jpg,Cristina Carranza
26/04/2022,12:04:00,ANH109,G095,57.76,Buena,Herbazal. inundado.,56.9,45.9,50.6,58.7,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 12.05.48.jpg,Cristina Carranza
26/04/2022,12:49:00,ANH194,G049,20.29,Buena,Herbazal. inundado.,46.2,58.4,47.8,56,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 12.51.19.jpg,Cristina Carranza
26/04/2022,13:18:00,ANH324,G005,0.15,Buena,Arbustal. la grabadora no tiene membrana. luego de hacer el play chime. el led se torna de rojo a verde y luego a rojo intermitente.,48.3,55.3,57.9,50.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 13.24.26.jpg,Cristina Carranza
26/04/2022,14:02:00,ANH064,G048,29.49,Buena,Palma. en fruto,53.3,46.5,52.2,57.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 14.11.13.jpg,Cristina Carranza
26/04/2022,15:08:00,ANH228,G037,41.8,Buena,Bosque. mayor hojarasc,51.2,58,55.9,47.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 15.08.57.jpg,Cristina Carranza
26/04/2022,16:09:00,ANH242,G093,38.47,Buena,Bosque. mayor hojarasca. La CT se traslada al árbol siguiente. la CT estaba configurada como ANH246.,37.1,46.2,52.7,47.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-26 16.11.18.jpg,Cristina Carranza
27/04/2022,7:45:00,ANH085,G6598,,,,,,,,,,,,
27/04/2022,8:32:00,ANH223,G052,5.35,Robada ,Palma ,0,0,0,0,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 08.33.11.jpg,Cristina Carranza
27/04/2022,9:18:00,ANH280,G041,26.5,Buena,Herbazal. Río Magdalena se creció.,50.2,49.2,56.3,51.4,TRUE,TRUE,TRUE,file:///storage/emulated/0/DCIM/Camera/IMG_20220427_090235340_HDR.jpg,Cristina Carranza
27/04/2022,9:38:00,ANH038,G046,36.84,Buena,Arbustal. sin cambios significativos ,48.4,64.7,46.3,54,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 09.39.40.jpg,Cristina Carranza
27/04/2022,10:12:00,ANH226,G094,16.38,Buena,Palma. mayor hojarasca ,46.1,61.4,65.7,43.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 10.12.20.jpg,Cristina Carranza
27/04/2022,10:55:00,ANH145,G053,17.48,Buena,Herbazal. el nivel del agua subió 50 cm,53.4,57.3,49.6,53.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 10.56.52.jpg,Cristina Carranza
27/04/2022,11:48:00,ANH135,G092,58.59,Buena,Bosque. relicto. más pasto. grabadora poblada por hormigas,,,,,,,,,
27/04/2022,12:14:00,ANH334,G035,49.27,Buena,Bosque. quebrada crecida.,44.4,59.5,33.4,49.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 12.15.35.jpg,Cristina Carranza
27/04/2022,12:55:00,ANH327,G015,34,Buena,Bosque. Mayor hojarasca.,48.7,55.3,58.3,56.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-27 12.56.52.jpg,Cristina Carranza
28/04/2022,8:13:00,ANH250,G040,26.73,Buena,Bosque. tala de árboles.,58,52.9,59.9,58.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 08.14.05.jpg,Cristina Carranza
28/04/2022,10:35:00,ANH272,G042,23.9,Buena,Pastos con árboles dispersos. ,53.6,46.2,37.7,57.1,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 10.37.00.jpg,Cristina Carranza
28/04/2022,11:48:00,ANH256,G096,6.76,Buena,Palma. mayor hojarasca. Grabadora sin membrana ,55.6,54.5,50.3,48.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 11.49.18.jpg,Cristina Carranza
28/04/2022,12:22:00,ANH252,G023,23.38,Buena,Bosque. mayor hojarasca ,60.7,62,56.3,54.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 12.23.29.jpg,Cristina Carranza
28/04/2022,12:55:00,ANH089,G003,5.83,Buena,Palma. creció pasto alrededor ,35.8,55.1,45.8,50.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 12.56.18.jpg,Cristina Carranza
28/04/2022,13:24:00,ANH101,G084,27.35,Buena,Bosque. árboles caídos. mayor hojaeasca. grabadora con membrana casi destruida.,52.2,47.2,59.1,45.9,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 13.26.22.jpg,Cristina Carranza
28/04/2022,14:19:00,ANH257,G004,12.07,Buena,Palma. en fruto. sin cambios ,56.6,54.6,53.7,48.4,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-28 14.20.55.jpg,Cristina Carranza
29/04/2022,7:27:00,ANH353,G061,36.97,Buena,Palma. Mantenimiento a la palma,,,,,,,,,
29/04/2022,8:32:00,ANH211,G011,12.1,Buena,palma. mayor hojarasca ,46.2,56.6,49.4,47.6,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-29 08.34.20.jpg,Cristina Carranza
29/04/2022,9:02:00,ANH243,G029,0,Robada ,Bosque. inundado,0,0,0,0,TRUE,TRUE,TRUE,file:///storage/emulated/0/DCIM/Camera/IMG_20220429_090057804.jpg,Cristina Carranza
29/04/2022,9:43:00,ANH066,G100,9.01,Buena,Palma. crecimiento de hierbas alrededor.,52.8,52,41.3,42.8,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-29 09.46.17.jpg,Cristina Carranza
29/04/2022,10:07:00,ANH088,G075,39.36,Buena,Bosque. presencia de bambú. rastro de inundación.,68.8,66.5,68.5,68.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-29 10.25.21.jpg,Cristina Carranza
29/04/2022,11:25:00,ANH210,G065,39.42,Buena,Palma. creció pasto alrededor de la CT,51.1,65.1,46.5,60.3,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-29 11.27.43.jpg,Cristina Carranza
29/04/2022,11:52:00,ANH213,G074,4.15,Buena,Palma. creció pasto alrededor.,57.5,46,48.7,48.5,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-04-29 11.52.59.jpg,Cristina Carranza
29/04/2022,13:50:00,ANH395,G044,36.9,Buena,bosque. inundado. nivel del agua subió aproximadamente 90 cm ,45.6,30.5,50.7,51.2,TRUE,TRUE,TRUE,file:///data/user/0/com.luckydroid.droidbase/files/files/-208641807/2022-05-04 15.16.01.jpg,Cristina Carranza